Station,Latitude,Longitude,m.a.s.l,StartDate,LastVisit,project,urlhourly,url
KPC_L,79.9108,-24.0828,370,17/07/2008,2016,PROMICE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/KPC_L_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/KPC_L_day_v03.txt
KPC_U,79.8347,-25.1662,870,17/07/2008,2016,PROMICE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/KPC_U_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/KPC_U_day_v03.txt
EGP,75.6247,-35.9748,2660,01/05/2016,2016,PROMICE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/EGP_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/EGP_day_v03.txt
SCO_L,72.223,-26.8182,460,21/07/2008,2014,PROMICE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/SCO_L_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/SCO_L_day_v03.txt
SCO_U,72.3933,-27.2333,970,21/07/2008,2014,PROMICE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/SCO_U_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/SCO_U_day_v03.txt
MIT*,65.6922,-37.828,440,03/05/2009,2016,PROMICE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/MIT_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/MIT_day_v03.txt
TAS_L,65.6402,-38.8987,250,23/08/2007,2016,PROMICE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/TAS_L_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/TAS_L_day_v03.txt
TAS_U***,65.6978,-38.8668,570,15/08/2007,13/08/2015,PROMICE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/TAS_U_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/TAS_U_day_v03.txt
TAS_A,65.779,-38.8995,890,28/08/2013,2016,PROMICE/REFREEZE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/TAS_A_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/TAS_A_day_v03.txt
QAS_L,61.0308,-46.8493,280,24/08/2007,2016,PROMICE,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/hourly/csv/QAS_L_hour_v03.txt,https://promice.org/PromiceDataPortal/api/download/f24019f7-d586-4465-8181-d4965421e6eb/v03/daily/QAS_L_day_v03.txt
